ablated_strategy,noise_rate,posterior_threshold,cases_per_seed,seeds,full_accuracy,ablated_accuracy,accuracy_difference,accuracy_difference_ci_low,accuracy_difference_ci_high,full_average_questions,ablated_average_questions,question_difference,question_difference_ci_low,question_difference_ci_high,full_brier_score,ablated_brier_score,brier_improvement,brier_improvement_ci_low,brier_improvement_ci_high,full_only_correct,ablated_only_correct,mcnemar_max_p
no_misreport,0.3,0.95,4836,3,0.7302178108629721,0.7183622828784119,0.011855527984560242,0.006270678246484697,0.01737145023435345,10.038185828508409,8.208988144472016,1.8291976840363937,1.7682623380204023,1.8917338709677416,0.3802498788274789,0.4480026034067193,0.06775272457924042,0.059711026650211184,0.07580094293745164,875,703,0.0391923368214874
unknown_as_negative,0.0,0.6,4836,3,0.8870967741935484,0.7880479735318445,0.09904880066170389,0.08981251723187206,0.1087710228839261,5.386683209263854,3.5336366142817752,1.853046594982079,1.772809829059829,1.9323855803694512,0.19391977227003662,0.3090303463531267,0.11511057408309011,0.1034166584717654,0.12614283398170004,1801,364,2.0370741177053976e-71
unknown_as_negative,0.0,0.7,4836,3,0.9202508960573477,0.8391232423490488,0.08112765370829887,0.07285463192721256,0.0891232423490488,5.876895505927764,3.755238489109457,2.121657016818307,2.0397625448028673,2.2086486765922246,0.13822198820665935,0.25467695352402336,0.116454965317364,0.10528947106919734,0.12786904568952445,1469,292,6.747298284348739e-57
unknown_as_negative,0.0,0.8,4836,3,0.9379652605459058,0.8721395092362835,0.06582575130962227,0.05762338020402536,0.07348014888337469,6.296939619520264,4.032395919492694,2.264543700027571,2.1778932313206507,2.3509891094568514,0.10387039407361794,0.21437042321435315,0.11050002914073517,0.09893501635794583,0.12219699249671125,1235,280,1.6145684108191868e-43
unknown_as_negative,0.0,0.85,4836,3,0.9432726771436449,0.8839261097325614,0.05934656741108354,0.05190239867659222,0.06672180865729252,6.677074717397297,4.181968569065344,2.495106148331955,2.408529776674938,2.5849203887510344,0.09120846036932635,0.19728559234440915,0.10607713197508277,0.09512450263906652,0.1176155500107999,1134,273,3.7735451875978525e-39
unknown_as_negative,0.0,0.9,4836,3,0.9471326164874552,0.9007444168734491,0.04638819961400606,0.039495450785773364,0.05314481665288116,7.141990625861593,4.436793493245106,2.7051971326164876,2.6104735318444994,2.798602495175076,0.0825227107674429,0.17155174499193693,0.089029034224494,0.07852942412661744,0.10052427232306954,952,279,3.43447282918361e-27
unknown_as_negative,0.0,0.95,4836,3,0.949820788530466,0.9183209263854426,0.031499862145023434,0.025296388199614005,0.03763613178935759,7.787772263578716,4.69609870416322,3.091673559415495,3.0030310862972156,3.1839037082988697,0.07569743392839136,0.1399452017411484,0.06424776781275705,0.05527261544397355,0.07378800695849917,758,301,1.7310435892034494e-14
unknown_as_negative,0.1,0.6,4836,3,0.8219602977667494,0.6947890818858561,0.1271712158808933,0.11758857182244277,0.1365470774744968,5.822098152743314,3.5778880617590296,2.2442100909842844,2.1669337606837606,2.325958092087124,0.2852817588249663,0.4698182829738135,0.18453652414884714,0.17185733312746054,0.19656904827808483,2419,574,9.260659699892014e-81
unknown_as_negative,0.1,0.7,4836,3,0.8520126826578439,0.7334574028122415,0.11855527984560241,0.11035118555279844,0.1275865039977943,6.413633857182244,3.7960435621725943,2.61759029500965,2.52419182519989,2.7062431072511712,0.23425185859728445,0.4381722167486379,0.20392035815135345,0.1911212328370036,0.2167522483885727,2267,547,4.115235885414691e-74
unknown_as_negative,0.1,0.8,4836,3,0.8718637992831542,0.7610283981251723,0.11083540115798181,0.10256410256410256,0.11924455472842568,6.945409429280397,4.106561896884478,2.8388475323959192,2.7483198924731185,2.9294906258615936,0.19787145589998836,0.4133255213488621,0.21545406544887374,0.2027541300142061,0.2283916699277033,2122,514,4.240551667877217e-70
unknown_as_negative,0.1,0.85,4836,3,0.8794458229942101,0.7710228839261098,0.10842293906810034,0.10022056796250343,0.1164909015715467,7.350771987868762,4.2727460711331675,3.0780259167355943,2.9915201957540667,3.1690808519437557,0.1809383379911544,0.4023195192297768,0.22138118123862238,0.20831851108682095,0.2341626494284185,2094,521,7.560994004354856e-69
unknown_as_negative,0.1,0.9,4836,3,0.8879239040529363,0.787082988695892,0.10084091535704438,0.09339674662255307,0.10849358974358973,7.869175627240144,4.527708850289495,3.341466776950648,3.2431710090984285,3.433350565205404,0.1620846527631777,0.3814273429114825,0.21934269014830476,0.20655856834445088,0.2325014520225794,1984,521,1.7249492781613541e-62
unknown_as_negative,0.1,0.95,4836,3,0.894403087951475,0.8038323683484974,0.09057071960297766,0.08326268265784394,0.09767369727047145,8.588158257513095,4.814791838985387,3.7733664185277087,3.681551557761235,3.869106699751861,0.1476410438851742,0.3544874176200153,0.20684637373484113,0.19426852629119393,0.21888986959084394,1860,546,9.825721734072285e-56
unknown_as_negative,0.2,0.6,4836,3,0.7407637165701683,0.6093879239040529,0.13137579266611524,0.12172594430658946,0.1404742211193824,6.2424179762889445,3.554659498207885,2.687758478081059,2.600136131789357,2.768894747725393,0.4010429644210123,0.622251682404794,0.2212087179837817,0.207603223214975,0.23376630846874166,2735,829,3.463179298862364e-75
