subset,comparison,a,b,level,metric,statistic,point_estimate,boot_mean,ci_low,ci_high,boot_std,n_pairs
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.0,top3,mean_paired_delta,0.0,8.27e-06,-0.00204082,0.00204082,0.00105054,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.0,brier,mean_paired_delta,0.00210745,0.00209543,-0.00091077,0.00518332,0.00154233,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.0,nll,mean_paired_delta,0.00658546,0.00654838,-0.0005194,0.01408271,0.00372629,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.0,margin,mean_paired_delta,-0.00306411,-0.00305138,-0.00619821,-7.3e-06,0.00157439,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.0,total_questions,mean_paired_delta,0.08911565,0.08911895,0.0707483,0.10816327,0.0095226,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.0,unnecessary_verification_rate,rate_delta,-0.09002528,-0.09004112,-0.1296264,-0.0504043,0.01995944,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.0,conflict_resolution_rate,rate_delta,0.09002528,0.09004112,0.05041174,0.12965105,0.01995944,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.1,top1,mean_paired_delta,0.00340136,0.00340833,-0.00068027,0.00748299,0.00213838,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.1,top3,mean_paired_delta,0.00204082,0.00207327,-0.00136054,0.00544218,0.00169043,2940
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.1,brier,mean_paired_delta,-0.0051375,-0.00514996,-0.00963892,-0.00075139,0.00226579,2940
